test,x,seed,phase,hits_per_run,chose_fixed,chose_variable,y_hat
heatmap_vs_heatmap_harder_variable,1.0,0,bracket,400,0,400,1.0
heatmap_vs_heatmap_harder_variable,1.0,1,bracket,400,0,400,1.0
heatmap_vs_heatmap_harder_variable,0.5,2,bracket,400,0,400,1.0
heatmap_vs_heatmap_harder_variable,0.5,3,bracket,400,0,400,1.0
heatmap_vs_heatmap_harder_variable,0.001,4,bracket,400,400,0,0.0
heatmap_vs_heatmap_harder_variable,0.001,5,bracket,400,400,0,0.0
heatmap_vs_heatmap_harder_variable,0.001,6,dense,400,400,0,0.0
heatmap_vs_heatmap_harder_variable,0.001,7,dense,400,400,0,0.0
heatmap_vs_heatmap_harder_variable,0.001,8,dense,400,400,0,0.0
heatmap_vs_heatmap_harder_variable,0.001,9,dense,400,400,0,0.0
heatmap_vs_heatmap_harder_variable,0.001,10,dense,400,400,0,0.0
heatmap_vs_heatmap_harder_variable,0.001,11,dense,400,400,0,0.0
heatmap_vs_heatmap_harder_variable,0.001,12,dense,400,400,0,0.0
heatmap_vs_heatmap_harder_variable,0.001,13,dense,400,400,0,0.0
heatmap_vs_heatmap_harder_variable,0.0026826957952797,14,dense,400,400,0,0.0
heatmap_vs_heatmap_harder_variable,0.0026826957952797,15,dense,400,400,0,0.0
heatmap_vs_heatmap_harder_variable,0.0026826957952797,16,dense,400,400,0,0.0
heatmap_vs_heatmap_harder_variable,0.0026826957952797,17,dense,400,400,0,0.0
heatmap_vs_heatmap_harder_variable,0.0026826957952797,18,dense,400,400,0,0.0
heatmap_vs_heatmap_harder_variable,0.0026826957952797,19,dense,400,400,0,0.0
heatmap_vs_heatmap_harder_variable,0.0026826957952797,20,dense,400,400,0,0.0
heatmap_vs_heatmap_harder_variable,0.0026826957952797,21,dense,400,400,0,0.0
heatmap_vs_heatmap_harder_variable,0.0071968567300115,22,dense,400,400,0,0.0
heatmap_vs_heatmap_harder_variable,0.0071968567300115,23,dense,400,400,0,0.0
heatmap_vs_heatmap_harder_variable,0.0071968567300115,24,dense,400,400,0,0.0
heatmap_vs_heatmap_harder_variable,0.0071968567300115,25,dense,400,400,0,0.0
heatmap_vs_heatmap_harder_variable,0.0071968567300115,26,dense,400,400,0,0.0
heatmap_vs_heatmap_harder_variable,0.0071968567300115,27,dense,400,400,0,0.0
heatmap_vs_heatmap_harder_variable,0.0071968567300115,28,dense,400,400,0,0.0
heatmap_vs_heatmap_harder_variable,0.0071968567300115,29,dense,400,400,0,0.0
heatmap_vs_heatmap_harder_variable,0.0193069772888324,30,dense,400,400,0,0.0
heatmap_vs_heatmap_harder_variable,0.0193069772888324,31,dense,400,400,0,0.0
heatmap_vs_heatmap_harder_variable,0.0193069772888324,32,dense,400,400,0,0.0
heatmap_vs_heatmap_harder_variable,0.0193069772888324,33,dense,400,400,0,0.0
heatmap_vs_heatmap_harder_variable,0.0193069772888324,34,dense,400,400,0,0.0
heatmap_vs_heatmap_harder_variable,0.0193069772888324,35,dense,400,400,0,0.0
heatmap_vs_heatmap_harder_variable,0.0193069772888324,36,dense,400,400,0,0.0
heatmap_vs_heatmap_harder_variable,0.0193069772888324,37,dense,400,400,0,0.0
heatmap_vs_heatmap_harder_variable,0.0517947467923121,38,dense,400,400,0,0.0
heatmap_vs_heatmap_harder_variable,0.0517947467923121,39,dense,400,400,0,0.0
heatmap_vs_heatmap_harder_variable,0.0517947467923121,40,dense,400,400,0,0.0
heatmap_vs_heatmap_harder_variable,0.0517947467923121,41,dense,400,400,0,0.0
heatmap_vs_heatmap_harder_variable,0.0517947467923121,42,dense,400,400,0,0.0
heatmap_vs_heatmap_harder_variable,0.0517947467923121,43,dense,400,400,0,0.0
heatmap_vs_heatmap_harder_variable,0.0517947467923121,44,dense,400,400,0,0.0
heatmap_vs_heatmap_harder_variable,0.0517947467923121,45,dense,400,400,0,0.0
heatmap_vs_heatmap_harder_variable,0.1389495494373137,46,dense,400,400,0,0.0
heatmap_vs_heatmap_harder_variable,0.1389495494373137,47,dense,400,400,0,0.0
heatmap_vs_heatmap_harder_variable,0.1389495494373137,48,dense,400,400,0,0.0
heatmap_vs_heatmap_harder_variable,0.1389495494373137,49,dense,400,400,0,0.0
heatmap_vs_heatmap_harder_variable,0.1389495494373137,50,dense,400,400,0,0.0
heatmap_vs_heatmap_harder_variable,0.1389495494373137,51,dense,400,400,0,0.0
heatmap_vs_heatmap_harder_variable,0.1389495494373137,52,dense,400,400,0,0.0
heatmap_vs_heatmap_harder_variable,0.1389495494373137,53,dense,400,400,0,0.0
heatmap_vs_heatmap_harder_variable,0.3727593720314938,54,dense,400,76,324,0.81
heatmap_vs_heatmap_harder_variable,0.3727593720314938,55,dense,400,90,310,0.775
heatmap_vs_heatmap_harder_variable,0.3727593720314938,56,dense,400,106,294,0.735
heatmap_vs_heatmap_harder_variable,0.3727593720314938,57,dense,400,38,362,0.905
heatmap_vs_heatmap_harder_variable,0.3727593720314938,58,dense,400,187,213,0.5325
heatmap_vs_heatmap_harder_variable,0.3727593720314938,59,dense,400,101,299,0.7475
heatmap_vs_heatmap_harder_variable,0.3727593720314938,60,dense,400,48,352,0.88
heatmap_vs_heatmap_harder_variable,0.3727593720314938,61,dense,400,80,320,0.8
heatmap_vs_heatmap_harder_variable,1.0,62,dense,400,0,400,1.0
heatmap_vs_heatmap_harder_variable,1.0,63,dense,400,0,400,1.0
heatmap_vs_heatmap_harder_variable,1.0,64,dense,400,0,400,1.0
heatmap_vs_heatmap_harder_variable,1.0,65,dense,400,0,400,1.0
heatmap_vs_heatmap_harder_variable,1.0,66,dense,400,0,400,1.0
heatmap_vs_heatmap_harder_variable,1.0,67,dense,400,0,400,1.0
heatmap_vs_heatmap_harder_variable,1.0,68,dense,400,0,400,1.0
heatmap_vs_heatmap_harder_variable,1.0,69,dense,400,0,400,1.0
heatmap_vs_heatmap_harder_variable,0.2275845926074787,70,insert,400,400,0,0.0
heatmap_vs_heatmap_harder_variable,0.2275845926074787,71,insert,400,400,0,0.0
heatmap_vs_heatmap_harder_variable,0.2275845926074787,72,insert,400,400,0,0.0
heatmap_vs_heatmap_harder_variable,0.2275845926074787,73,insert,400,400,0,0.0
heatmap_vs_heatmap_harder_variable,0.2912632654908735,74,insert,400,400,0,0.0
heatmap_vs_heatmap_harder_variable,0.2912632654908735,75,insert,400,400,0,0.0
heatmap_vs_heatmap_harder_variable,0.2912632654908735,76,insert,400,400,0,0.0
heatmap_vs_heatmap_harder_variable,0.2912632654908735,77,insert,400,400,0,0.0
heatmap_vs_heatmap_harder_variable,0.3295013079491799,78,insert,400,400,0,0.0
heatmap_vs_heatmap_harder_variable,0.3295013079491799,79,insert,400,400,0,0.0
heatmap_vs_heatmap_harder_variable,0.3295013079491799,80,insert,400,281,119,0.2975
heatmap_vs_heatmap_harder_variable,0.3295013079491799,81,insert,400,400,0,0.0
heatmap_vs_heatmap_harder_variable,0.3504635510786994,82,insert,400,211,189,0.4725
heatmap_vs_heatmap_harder_variable,0.3504635510786994,83,insert,400,162,238,0.595
heatmap_vs_heatmap_harder_variable,0.3504635510786994,84,insert,400,197,203,0.5075
heatmap_vs_heatmap_harder_variable,0.3504635510786994,85,insert,400,187,213,0.5325
heatmap_vs_heatmap_harder_variable,0.3398208328942557,86,insert,400,184,216,0.54
heatmap_vs_heatmap_harder_variable,0.3398208328942557,87,insert,400,400,0,0.0
heatmap_vs_heatmap_harder_variable,0.3398208328942557,88,insert,400,400,0,0.0
heatmap_vs_heatmap_harder_variable,0.3398208328942557,89,insert,400,204,196,0.49
heatmap_vs_heatmap_harder_variable,0.3398208328942557,90,tighten,400,359,41,0.1025
heatmap_vs_heatmap_harder_variable,0.3398208328942557,91,tighten,400,132,268,0.67
heatmap_vs_heatmap_harder_variable,0.3398208328942557,92,tighten,400,223,177,0.4425
heatmap_vs_heatmap_harder_variable,0.3398208328942557,93,tighten,400,215,185,0.4625
