test,x,seed,phase,hits_per_run,chose_fixed,chose_variable,y_hat
margin_vs_margin_more_options,1.0,0,bracket,400,400,0,0.0
margin_vs_margin_more_options,1.0,1,bracket,400,400,0,0.0
margin_vs_margin_more_options,2.0,2,bracket,400,0,400,1.0
margin_vs_margin_more_options,2.0,3,bracket,400,0,400,1.0
margin_vs_margin_more_options,1.0,4,dense,400,400,0,0.0
margin_vs_margin_more_options,1.0,5,dense,400,400,0,0.0
margin_vs_margin_more_options,1.0,6,dense,400,400,0,0.0
margin_vs_margin_more_options,1.0,7,dense,400,400,0,0.0
margin_vs_margin_more_options,1.0,8,dense,400,400,0,0.0
margin_vs_margin_more_options,1.0,9,dense,400,400,0,0.0
margin_vs_margin_more_options,1.0,10,dense,400,400,0,0.0
margin_vs_margin_more_options,1.0,11,dense,400,400,0,0.0
margin_vs_margin_more_options,1.1040895136738125,12,dense,400,0,400,1.0
margin_vs_margin_more_options,1.1040895136738125,13,dense,400,0,400,1.0
margin_vs_margin_more_options,1.1040895136738125,14,dense,400,0,400,1.0
margin_vs_margin_more_options,1.1040895136738125,15,dense,400,35,365,0.9125
margin_vs_margin_more_options,1.1040895136738125,16,dense,400,0,400,1.0
margin_vs_margin_more_options,1.1040895136738125,17,dense,400,0,400,1.0
margin_vs_margin_more_options,1.1040895136738125,18,dense,400,0,400,1.0
margin_vs_margin_more_options,1.1040895136738125,19,dense,400,0,400,1.0
margin_vs_margin_more_options,1.2190136542044754,20,dense,400,0,400,1.0
margin_vs_margin_more_options,1.2190136542044754,21,dense,400,0,400,1.0
margin_vs_margin_more_options,1.2190136542044754,22,dense,400,0,400,1.0
margin_vs_margin_more_options,1.2190136542044754,23,dense,400,0,400,1.0
margin_vs_margin_more_options,1.2190136542044754,24,dense,400,0,400,1.0
margin_vs_margin_more_options,1.2190136542044754,25,dense,400,0,400,1.0
margin_vs_margin_more_options,1.2190136542044754,26,dense,400,0,400,1.0
margin_vs_margin_more_options,1.2190136542044754,27,dense,400,0,400,1.0
margin_vs_margin_more_options,1.3459001926323562,28,dense,400,0,400,1.0
margin_vs_margin_more_options,1.3459001926323562,29,dense,400,0,400,1.0
margin_vs_margin_more_options,1.3459001926323562,30,dense,400,0,400,1.0
margin_vs_margin_more_options,1.3459001926323562,31,dense,400,0,400,1.0
margin_vs_margin_more_options,1.3459001926323562,32,dense,400,0,400,1.0
margin_vs_margin_more_options,1.3459001926323562,33,dense,400,0,400,1.0
margin_vs_margin_more_options,1.3459001926323562,34,dense,400,0,400,1.0
margin_vs_margin_more_options,1.3459001926323562,35,dense,400,0,400,1.0
margin_vs_margin_more_options,1.4859942891369484,36,dense,400,0,400,1.0
margin_vs_margin_more_options,1.4859942891369484,37,dense,400,0,400,1.0
margin_vs_margin_more_options,1.4859942891369484,38,dense,400,0,400,1.0
margin_vs_margin_more_options,1.4859942891369484,39,dense,400,0,400,1.0
margin_vs_margin_more_options,1.4859942891369484,40,dense,400,0,400,1.0
margin_vs_margin_more_options,1.4859942891369484,41,dense,400,0,400,1.0
margin_vs_margin_more_options,1.4859942891369484,42,dense,400,0,400,1.0
margin_vs_margin_more_options,1.4859942891369484,43,dense,400,0,400,1.0
margin_vs_margin_more_options,1.640670712015276,44,dense,400,0,400,1.0
margin_vs_margin_more_options,1.640670712015276,45,dense,400,0,400,1.0
margin_vs_margin_more_options,1.640670712015276,46,dense,400,0,400,1.0
margin_vs_margin_more_options,1.640670712015276,47,dense,400,0,400,1.0
margin_vs_margin_more_options,1.640670712015276,48,dense,400,0,400,1.0
margin_vs_margin_more_options,1.640670712015276,49,dense,400,0,400,1.0
margin_vs_margin_more_options,1.640670712015276,50,dense,400,0,400,1.0
margin_vs_margin_more_options,1.640670712015276,51,dense,400,0,400,1.0
margin_vs_margin_more_options,1.8114473285278132,52,dense,400,0,400,1.0
margin_vs_margin_more_options,1.8114473285278132,53,dense,400,0,400,1.0
margin_vs_margin_more_options,1.8114473285278132,54,dense,400,0,400,1.0
margin_vs_margin_more_options,1.8114473285278132,55,dense,400,0,400,1.0
margin_vs_margin_more_options,1.8114473285278132,56,dense,400,0,400,1.0
margin_vs_margin_more_options,1.8114473285278132,57,dense,400,0,400,1.0
margin_vs_margin_more_options,1.8114473285278132,58,dense,400,0,400,1.0
margin_vs_margin_more_options,1.8114473285278132,59,dense,400,0,400,1.0
margin_vs_margin_more_options,2.0,60,dense,400,0,400,1.0
margin_vs_margin_more_options,2.0,61,dense,400,0,400,1.0
margin_vs_margin_more_options,2.0,62,dense,400,0,400,1.0
margin_vs_margin_more_options,2.0,63,dense,400,0,400,1.0
margin_vs_margin_more_options,2.0,64,dense,400,0,400,1.0
margin_vs_margin_more_options,2.0,65,dense,400,0,400,1.0
margin_vs_margin_more_options,2.0,66,dense,400,0,400,1.0
margin_vs_margin_more_options,2.0,67,dense,400,0,400,1.0
margin_vs_margin_more_options,1.0507566386532194,68,insert,400,210,190,0.475
margin_vs_margin_more_options,1.0507566386532194,69,insert,400,195,205,0.5125
margin_vs_margin_more_options,1.0507566386532194,70,insert,400,294,106,0.265
margin_vs_margin_more_options,1.0507566386532194,71,insert,400,292,108,0.27
margin_vs_margin_more_options,1.0770930257689737,72,insert,400,151,249,0.6225
margin_vs_margin_more_options,1.0770930257689737,73,insert,400,0,400,1.0
margin_vs_margin_more_options,1.0770930257689737,74,insert,400,0,400,1.0
margin_vs_margin_more_options,1.0770930257689737,75,insert,400,0,400,1.0
margin_vs_margin_more_options,1.0250642119658746,76,insert,400,400,0,0.0
margin_vs_margin_more_options,1.0250642119658746,77,insert,400,400,0,0.0
margin_vs_margin_more_options,1.0250642119658746,78,insert,400,353,47,0.1175
margin_vs_margin_more_options,1.0250642119658746,79,insert,400,400,0,0.0
margin_vs_margin_more_options,1.0638433377494227,80,insert,400,108,292,0.73
margin_vs_margin_more_options,1.0638433377494227,81,insert,400,153,247,0.6175
margin_vs_margin_more_options,1.0638433377494227,82,insert,400,0,400,1.0
margin_vs_margin_more_options,1.0638433377494227,83,insert,400,191,209,0.5225
margin_vs_margin_more_options,1.0378309234981262,84,insert,400,285,115,0.2875
margin_vs_margin_more_options,1.0378309234981262,85,insert,400,286,114,0.285
margin_vs_margin_more_options,1.0378309234981262,86,insert,400,214,186,0.465
margin_vs_margin_more_options,1.0378309234981262,87,insert,400,309,91,0.2275
margin_vs_margin_more_options,1.0314278150939225,88,insert,400,398,2,0.005
margin_vs_margin_more_options,1.0314278150939225,89,insert,400,400,0,0.0
margin_vs_margin_more_options,1.0314278150939225,90,insert,400,400,0,0.0
margin_vs_margin_more_options,1.0314278150939225,91,insert,400,293,107,0.2675
margin_vs_margin_more_options,1.0638433377494227,92,tighten,400,140,260,0.65
margin_vs_margin_more_options,1.0638433377494227,93,tighten,400,130,270,0.675
margin_vs_margin_more_options,1.0638433377494227,94,tighten,400,48,352,0.88
margin_vs_margin_more_options,1.0638433377494227,95,tighten,400,0,400,1.0
margin_vs_margin_more_options,1.0572797404789354,96,insert,400,77,323,0.8075
margin_vs_margin_more_options,1.0572797404789354,97,insert,400,142,258,0.645
margin_vs_margin_more_options,1.0572797404789354,98,insert,400,150,250,0.625
margin_vs_margin_more_options,1.0572797404789354,99,insert,400,0,400,1.0
margin_vs_margin_more_options,1.0572797404789354,100,tighten,400,154,246,0.615
margin_vs_margin_more_options,1.0572797404789354,101,tighten,400,138,262,0.655
margin_vs_margin_more_options,1.0572797404789354,102,tighten,400,134,266,0.665
margin_vs_margin_more_options,1.0572797404789354,103,tighten,400,0,400,1.0
margin_vs_margin_more_options,1.0540131432870248,104,insert,400,268,132,0.33
margin_vs_margin_more_options,1.0540131432870248,105,insert,400,179,221,0.5525
margin_vs_margin_more_options,1.0540131432870248,106,insert,400,54,346,0.865
margin_vs_margin_more_options,1.0540131432870248,107,insert,400,40,360,0.9
margin_vs_margin_more_options,1.0540131432870248,108,tighten,400,154,246,0.615
margin_vs_margin_more_options,1.0540131432870248,109,tighten,400,114,286,0.715
margin_vs_margin_more_options,1.0540131432870248,110,tighten,400,299,101,0.2525
margin_vs_margin_more_options,1.0540131432870248,111,tighten,400,171,229,0.5725
margin_vs_margin_more_options,1.0770930257689737,112,tighten,400,46,354,0.885
margin_vs_margin_more_options,1.0770930257689737,113,tighten,400,93,307,0.7675
margin_vs_margin_more_options,1.0770930257689737,114,tighten,400,0,400,1.0
margin_vs_margin_more_options,1.0770930257689737,115,tighten,400,95,305,0.7625
margin_vs_margin_more_options,1.0507566386532194,116,tighten,400,269,131,0.3275
margin_vs_margin_more_options,1.0507566386532194,117,tighten,400,194,206,0.515
margin_vs_margin_more_options,1.0507566386532194,118,tighten,400,202,198,0.495
margin_vs_margin_more_options,1.0507566386532194,119,tighten,400,243,157,0.3925
margin_vs_margin_more_options,1.0378309234981262,120,tighten,400,293,107,0.2675
margin_vs_margin_more_options,1.0378309234981262,121,tighten,400,247,153,0.3825
margin_vs_margin_more_options,1.0378309234981262,122,tighten,400,300,100,0.25
margin_vs_margin_more_options,1.0378309234981262,123,tighten,400,297,103,0.2575
margin_vs_margin_more_options,1.0540131432870248,124,tighten,400,140,260,0.65
margin_vs_margin_more_options,1.0540131432870248,125,tighten,400,14,386,0.965
margin_vs_margin_more_options,1.0540131432870248,126,tighten,400,46,354,0.885
margin_vs_margin_more_options,1.0540131432870248,127,tighten,400,166,234,0.585
margin_vs_margin_more_options,1.0314278150939225,128,tighten,400,353,47,0.1175
margin_vs_margin_more_options,1.0314278150939225,129,tighten,400,304,96,0.24
margin_vs_margin_more_options,1.0314278150939225,130,tighten,400,256,144,0.36
margin_vs_margin_more_options,1.0314278150939225,131,tighten,400,282,118,0.295
margin_vs_margin_more_options,1.0523836313515087,132,insert,400,240,160,0.4
margin_vs_margin_more_options,1.0523836313515087,133,insert,400,51,349,0.8725
margin_vs_margin_more_options,1.0523836313515087,134,insert,400,137,263,0.6575
margin_vs_margin_more_options,1.0523836313515087,135,insert,400,51,349,0.8725
margin_vs_margin_more_options,1.0523836313515087,136,tighten,400,298,102,0.255
margin_vs_margin_more_options,1.0523836313515087,137,tighten,400,229,171,0.4275
margin_vs_margin_more_options,1.0523836313515087,138,tighten,400,84,316,0.79
margin_vs_margin_more_options,1.0523836313515087,139,tighten,400,158,242,0.605
margin_vs_margin_more_options,1.0523836313515087,140,tighten,400,206,194,0.485
margin_vs_margin_more_options,1.0523836313515087,141,tighten,400,0,400,1.0
margin_vs_margin_more_options,1.0523836313515087,142,tighten,400,201,199,0.4975
margin_vs_margin_more_options,1.0523836313515087,143,tighten,400,162,238,0.595
margin_vs_margin_more_options,1.0638433377494227,144,tighten,400,54,346,0.865
margin_vs_margin_more_options,1.0638433377494227,145,tighten,400,91,309,0.7725
margin_vs_margin_more_options,1.0638433377494227,146,tighten,400,81,319,0.7975
margin_vs_margin_more_options,1.0638433377494227,147,tighten,400,198,202,0.505
margin_vs_margin_more_options,1.0572797404789354,148,tighten,400,95,305,0.7625
margin_vs_margin_more_options,1.0572797404789354,149,tighten,400,120,280,0.7
margin_vs_margin_more_options,1.0572797404789354,150,tighten,400,99,301,0.7525
margin_vs_margin_more_options,1.0572797404789354,151,tighten,400,350,50,0.125
margin_vs_margin_more_options,1.0314278150939225,152,tighten,400,213,187,0.4675
margin_vs_margin_more_options,1.0314278150939225,153,tighten,400,345,55,0.1375
margin_vs_margin_more_options,1.0314278150939225,154,tighten,400,355,45,0.1125
margin_vs_margin_more_options,1.0314278150939225,155,tighten,400,335,65,0.1625
