spec_fixed,spec_variable,label,M,beta,certified,status,diff_whole_model,diff_actor,diff_critic,diff_policy_net_0,diff_policy_net_2,diff_action_net,diff_value_net_0,diff_value_net_2,diff_value_net_out,source_file,ratio_em_avg,ratio_em_max,ratio_em_sum,ratio_em_l1,ratio_em_l2,ratio_em_rms,ratio_em_std,ratio_entropy_effective_rank,ratio_participation_ratio,ratio_num_options,ratio_proxy_dimension_size,ratio_p_proxy_correct,ratio_wn_actor,ratio_wn_critic,ratio_wn_whole_model,ratio_wn_policy_net_0,ratio_wn_policy_net_2,ratio_wn_action_net,ratio_wn_value_net_0,ratio_wn_value_net_2,ratio_wn_value_net_out,ratio_weight_decay,ratio_hit_rate,ratio_proxy_hit_rate,ratio_correct,ratio_proxy_correct,ratio_episodes,ratio_mean_reward,ratio_fit_status,ratio_fit_L,ratio_fit_A,ratio_fit_tau,ratio_fit_L_err,ratio_fit_A_err,ratio_fit_tau_err,ratio_r_squared,ratio_rmse,ratio_fit_points_used
"('margin', 1.0, 1.0, 0.0, 4)","('margin', 2.0, 1.0, 0.0, 4)",k_fixed1_k_variable2,1.0299717639322616,79.66244462367285,True,ok,,,,,,,,,,indifference_data.csv,0.8461830030444762,0.714355302156199,0.8461830030444762,0.8461830030444762,0.789566005093473,0.789566005093473,0.6563207867128789,1.0796286088112887,1.1090525428322149,1.0,1.0,1.0,1.0824861859385253,0.9970976036973751,1.0575033294557599,1.0850126741454515,1.0748171958231365,1.2058648159581595,0.9750965885044612,0.9998558508033453,1.004973207636692,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0002797485913235,0.9939672814727566,1.1660266517756792,1.1104326191454397,0.995435209767589,1.1902903158295741,0.9987629586573242,1.0748933564994507,1.0
"('margin', 2.0, 1.0, 0.0, 4)","('margin', 3.0, 1.0, 0.0, 4)",k_fixed2_k_variable3,1.0498731572965168,30.108603296111838,True,ok,,,,,,,,,,indifference_data.csv,0.9394075133463616,0.8667121263132341,0.9394075133463616,0.9394075133463616,0.9180375017694258,0.9180375017694258,0.8384967258699856,1.0208947323750641,1.0360857526484692,1.0,1.0,1.0,1.0814524299578379,1.0001579063367796,1.0603039072272817,1.0383515767469207,1.079143597943,1.2063709286373767,1.0119437777701092,0.9983142677838311,1.021293002516254,,1.0,1.0,1.0,1.0,1.0,1.0,,0.9992007893434862,1.0016571842154274,1.1074467303448747,0.9953271928858155,0.9215675620968338,1.0349094538479984,1.0057556859425927,0.9698028771969012,1.0
"('margin', 3.0, 1.0, 0.0, 4)","('margin', 5.0, 1.0, 0.0, 4)",k_fixed3_k_variable5,1.135010131430796,35.24437152765032,True,ok,,,,,,,,,,indifference_data.csv,0.9483994021399338,0.8769714929419643,0.9483994021399338,0.9483994021399338,0.932632109342008,0.932632109342008,0.8576042139053826,1.0066970643414055,1.0127245824276487,1.0,1.0,1.0,1.090325327747197,1.0045089234046305,1.0705117110729887,1.0499361511013596,1.0857628124626497,1.2053324367128382,1.0190091700330022,1.0026705211556486,1.0010725367280586,,1.0,1.0,1.0,1.0,1.0,1.0,,0.9985765375824787,0.9798401358131076,1.216124423301064,1.1115078856347447,0.9465834820665852,1.221491801238435,1.0007711875314513,1.043884219914806,1.0
"('margin', 5.0, 1.0, 0.0, 4)","('margin', 7.0, 1.0, 0.0, 4)",k_fixed5_k_variable7,1.102983878245002,38.796926445390575,True,ok,,,,,,,,,,indifference_data.csv,0.9766822481223313,0.9398766055120087,0.9766822481223313,0.9766822481223313,0.9704979696470234,0.9704979696470234,0.9345029348917685,0.9988834817628696,0.9977306247298801,1.0,1.0,1.0,1.0411746326242723,1.0053419272031687,1.0337635741544247,1.0089900728150578,1.0329128673394594,1.1534270490125873,0.9836136744675511,1.0079269447634651,1.0225000133752495,,1.0,1.0,1.0,1.0,1.0,1.0,,0.9919556153372852,0.9662250914696865,1.140020053119475,0.8625029179189937,0.7649817886638839,0.9346224135816786,1.012650076907308,0.8167832545522132,1.0
"('margin', 7.0, 1.0, 0.0, 4)","('margin', 10.0, 1.0, 0.0, 4)",k_fixed7_k_variable10,1.1012492551671105,112.07447201528076,True,ok,,,,,,,,,,indifference_data.csv,0.9820941622089754,0.9520229085376278,0.9820941622089754,0.9820941622089754,0.9778823123370394,0.9778823123370394,0.9507149850924407,0.9974422965255184,0.9947237917310219,1.0,1.0,1.0,1.0758558411360633,0.9958350237326621,1.0604659000151426,1.0306908593208892,1.0817519125033845,1.0763963943867387,1.0060080896694192,0.994626316253187,0.9902373778684175,,1.0,1.0,1.0,1.0,1.0,1.0,,0.9914140909008743,0.957818008037321,1.265962051251513,1.1120259867465232,0.8657495846770245,1.2492897266728955,1.0025346555004122,0.9739107431214532,1.0
"('margin', 10.0, 1.0, 0.0, 4)","('margin', 13.0, 1.0, 0.0, 4)",k_fixed10_k_variable13,1.070423747601157,38.9029663210021,True,ok,,,,,,,,,,indifference_data.csv,0.9901826063778738,0.972864289033316,0.9901826063778738,0.9901826063778738,0.9880889836253737,0.9880889836253737,0.9735721497064559,0.998032981139686,0.9959031012239045,1.0,1.0,1.0,1.0088192636403135,1.0115464006971044,1.0092967356081461,0.9895301296173389,1.0047599195670718,1.0559076775904768,1.0213795548004276,1.0105535360315008,0.9940902735163216,,1.0,1.0,1.0,1.0,1.0,1.0,,0.9803285445160369,0.9369220858830206,1.1837027877624264,1.0867336039088153,0.8782686024157929,1.2116438981863142,1.0009942863392323,0.9546273443961836,1.0
"('margin', 13.0, 1.0, 0.0, 4)","('margin', 16.0, 1.0, 0.0, 4)",k_fixed13_k_variable16,1.0436842810439206,26.10811101897247,True,ok,,,,,,,,,,indifference_data.csv,0.9938032934790945,0.9825671272495473,0.9938032934790945,0.9938032934790945,0.9925675255890352,0.9925675255890352,0.9836570985545648,0.9985749558878582,0.9970182431416551,1.0,1.0,1.0,1.04973537660229,0.998452187384614,1.040909549537035,1.0120020117404478,1.057644379969973,1.025433025488626,0.9873852759248817,0.9995500980119252,1.0203995704112292,,1.0,1.0,1.0,1.0,1.0,1.0,,0.9901512828109454,0.9720040017374764,1.1541725154712772,1.0928504753841093,0.8900246103494669,1.1598577725309873,1.0018630122499552,0.9530603006336678,1.0
"('margin', 16.0, 1.0, 0.0, 4)","('margin', 20.0, 1.0, 0.0, 4)",k_fixed16_k_variable20,1.0433168187241038,25.70551840993829,True,ok,,,,,,,,,,indifference_data.csv,0.9945960342252601,0.9846234528938992,0.9945960342252601,0.9945960342252601,0.9935762122252447,0.9935762122252447,0.986033495777914,0.9986516397760437,0.9971712911175251,1.0,1.0,1.0,1.0288164604636099,1.0003604306939906,1.024270702286714,1.0132732373883366,1.0316792735312887,1.0201940494270658,1.0106467739778633,0.9991213372490504,0.9941626067036684,,1.0,1.0,1.0,1.0,1.0,1.0,,0.9822777357186578,0.9393865323189757,1.2240551836403903,1.314054362685419,0.9558510460100601,1.450704550925873,0.9970821198598817,1.037699797849793,1.0
"('margin', 20.0, 1.0, 0.0, 4)","('margin', 25.0, 1.0, 0.0, 4)",k_fixed20_k_variable25,1.0392263288258772,18.446930161686826,True,ok,,,,,,,,,,indifference_data.csv,0.9956533381684362,0.9875066578510533,0.9956533381684362,0.9956533381684362,0.9948732498584306,0.9948732498584306,0.9889844252470634,0.9988504772667799,0.9975837621786167,1.0,1.0,1.0,1.0045567801120858,1.0045059609276377,1.0045489454294345,0.9735480156977857,1.00864668653847,0.997971371899234,1.007654009623441,1.004372218436797,0.9877004114927389,,1.0,1.0,1.0,1.0,1.0,1.0,,0.9617811303331101,0.9369559798833496,1.1270856091427408,1.2572136562067857,1.0398293184852108,1.3681980131978388,0.9939658605166294,1.0690181952376467,1.0
"('margin', 1.0, 1.0, 0.0, 4)","('margin', 5.0, 1.0, 0.0, 4)",k_fixed1_k_variable5,1.3261344000227575,7.534859359771521,True,ok,,,,,,,,,,indifference_data.csv,0.7538928048711621,0.5429684834499184,0.7538928048711621,0.7538928048711621,0.6760195062246628,0.6760195062246628,0.4719591786845482,1.1095685779813562,1.1636950195239402,1.0,1.0,1.0,1.2763973219425333,1.0017515983705063,1.200337924765148,1.182883918297557,1.259356846495175,1.7534215131161088,1.0055000895109183,1.0008359966516729,1.0274729264545877,,1.0,1.0,1.0,1.0,1.0,1.0,,0.9980575916922153,0.9755430158975762,1.5703965514046991,1.2284871789115113,0.8683585798934517,1.5046857592908356,1.0052861913414046,1.0881811021098935,1.0
"('margin', 10.0, 1.0, 0.0, 4)","('margin', 25.0, 1.0, 0.0, 4)",k_fixed10_k_variable25,1.1817479017667911,24.46105264173158,True,ok,,,,,,,,,,indifference_data.csv,0.9744747765824717,0.9294471514866219,0.9744747765824717,0.9744747765824717,0.9694492038247049,0.9694492038247049,0.9338841246624037,0.9941228678509906,0.9877324632526739,1.0,1.0,1.0,1.0944743634932232,1.0148973184096073,1.0809801375890407,0.9878576019806184,1.1058233099920172,1.1023870866879204,1.027033567525803,1.0136238421905654,0.9960445199415903,,1.0,1.0,1.0,1.0,1.0,1.0,,0.917030447341602,0.8015581724306267,1.8848261591450297,1.9620328040543755,0.7769295699950798,2.7893798904443394,0.9938991933943907,1.0092786328615033,1.0
"('margin', 3.0, 1.0, 0.0, 4)","('margin', 13.0, 1.0, 0.0, 4)", n/a,1.4183872763465817,11.594807831994297,True, ok,,,,,,,,,,indifference_data.csv,0.9007680810383341,0.7634067171960851,0.9007680810383341,0.9007680810383341,0.8745560386042077,0.8745560386042077,0.7417986815190332,1.0010281888759085,1.000977337617443,1.0,1.0,1.0,1.232103319700019,1.0172806871036086,1.1844813433964305,1.0804563585156295,1.2189576708777443,1.580138511274578,1.0298910482415797,1.0157961766758905,1.0076135739728747,,1.0,1.0,1.0,1.0,1.0,1.0,,0.9627207522195841,0.8496107733764859,2.0775613580439263,1.158540322921136,0.5505917088514437,1.728084267148352,1.017009913170323,0.7927060716047213,1.0
"('margin', 9.0, 1.0, 0.0, 4)","('margin', 14.0, 1.0, 0.0, 4)",k_fixed9_k_variable14,1.1078778470484143,109.7671283034336,True,ok,,,,,,,,,,indifference_data.csv,0.9831976613412489,0.9539398547178235,0.9831976613412489,0.9831976613412489,0.9795971951315318,0.9795971951315318,0.9549289110328235,0.9967066191053409,0.9931497404549423,1.0,1.0,1.0,1.0357225078738759,1.011287003027741,1.0314456431379992,0.9969202612821709,1.0300581779143714,1.1152216663191772,1.015897870652615,1.0110954802211949,0.9881720352709276,,1.0,1.0,1.0,1.0,1.0,1.0,,0.9706649030685149,0.9269339354633624,1.2864362666859217,1.1355471491006723,0.8337433624520605,1.3106577365339889,1.002030616673211,0.9445659478214448,1.0
"('margin', 13.0, 1.0, 0.0, 4)","('margin', 18.0, 1.0, 0.0, 4)",k_fixed13_k_variable18,1.070423747601157,38.9029663210021,True,ok,,,,,,,,,,indifference_data.csv,0.9908196940431031,0.9741735218511813,0.9908196940431031,0.9908196940431031,0.989017667358688,0.989017667358688,0.9759738722519589,0.9978392040509887,0.9954773707742703,1.0,1.0,1.0,1.045230610150401,1.0060213441111303,1.038450019786567,1.0053411465375377,1.049882697207902,1.0452356770204712,1.0112568700687325,1.0050907762812138,1.0197593086605674,,1.0,1.0,1.0,1.0,1.0,1.0,,0.9729524769809512,0.9315488503043666,1.271472611890712,1.2611183771204415,0.8844233274160951,1.4223414166956132,0.999337505863624,0.988368261120297,1.0
