test,x,seed,phase,hits_per_run,chose_fixed,chose_variable,y_hat
margin_vs_margin_baseline,1.0,0,bracket,400,0,400,1.0
margin_vs_margin_baseline,1.0,1,bracket,400,0,400,1.0
margin_vs_margin_baseline,0.5,2,bracket,400,400,0,0.0
margin_vs_margin_baseline,0.5,3,bracket,400,400,0,0.0
margin_vs_margin_baseline,0.5,4,dense,400,400,0,0.0
margin_vs_margin_baseline,0.5,5,dense,400,400,0,0.0
margin_vs_margin_baseline,0.5,6,dense,400,400,0,0.0
margin_vs_margin_baseline,0.5,7,dense,400,400,0,0.0
margin_vs_margin_baseline,0.5,8,dense,400,400,0,0.0
margin_vs_margin_baseline,0.5,9,dense,400,400,0,0.0
margin_vs_margin_baseline,0.5,10,dense,400,400,0,0.0
margin_vs_margin_baseline,0.5,11,dense,400,400,0,0.0
margin_vs_margin_baseline,0.5520447568369061,12,dense,400,400,0,0.0
margin_vs_margin_baseline,0.5520447568369061,13,dense,400,400,0,0.0
margin_vs_margin_baseline,0.5520447568369061,14,dense,400,400,0,0.0
margin_vs_margin_baseline,0.5520447568369061,15,dense,400,400,0,0.0
margin_vs_margin_baseline,0.5520447568369061,16,dense,400,400,0,0.0
margin_vs_margin_baseline,0.5520447568369061,17,dense,400,400,0,0.0
margin_vs_margin_baseline,0.5520447568369061,18,dense,400,400,0,0.0
margin_vs_margin_baseline,0.5520447568369061,19,dense,400,400,0,0.0
margin_vs_margin_baseline,0.6095068271022377,20,dense,400,400,0,0.0
margin_vs_margin_baseline,0.6095068271022377,21,dense,400,400,0,0.0
margin_vs_margin_baseline,0.6095068271022377,22,dense,400,400,0,0.0
margin_vs_margin_baseline,0.6095068271022377,23,dense,400,400,0,0.0
margin_vs_margin_baseline,0.6095068271022377,24,dense,400,400,0,0.0
margin_vs_margin_baseline,0.6095068271022377,25,dense,400,400,0,0.0
margin_vs_margin_baseline,0.6095068271022377,26,dense,400,400,0,0.0
margin_vs_margin_baseline,0.6095068271022377,27,dense,400,400,0,0.0
margin_vs_margin_baseline,0.6729500963161781,28,dense,400,400,0,0.0
