x,left_probabilities
0,0.000;0.000;0.000
18.181818181818183,0.000;0.000;0.000
36.36363636363637,0.000;0.000;0.000
54.54545454545455,0.900;0.700;0.000
72.72727272727273,0.000;0.000;0.000
90.9090909090909,0.960;0.850;0.880
109.0909090909091,0.000;0.000;0.960
127.27272727272727,0.970;0.010;0.000
145.45454545454547,0.980;0.960;0.990
163.63636363636365,0.910;0.990;0.940
74.3801652892562,0.9700;0.0000;0.0000
76.03305785123968,0.0000;0.0000;0.0000
77.68595041322314,0.0000;0.0100;0.0100
79.33884297520662,0.0000;0.0000;0.0100
80.99173553719008,0.9800;0.8400;0.0100
82.64462809917356,0.0000;0.0000;0.9300
84.29752066115702,0.0000;0.8500;0.0000
85.9504132231405,0.9800;0.0000;0.0000
87.60330578512396,0.9300;0.0000;0.0000
89.25619834710744,0.0000;0.9600;0.0000
131.8181818181818,1.0000;0.0000;0.9800
136.36363636363637,0.0100;0.9900;0.8700
140.9090909090909,0.9600;0.9900;0.9600
120,0.0000;0.0000;0.9900;0.0000;0.9800;0.9700;0.0000;0.0000;0.9700;0.0000
140,0.9500;0.9700;0.9900;0.9800;0.9800;0.9800;0.9000;0.9900;0.9600;0.9900
125,0.0000;0.0000;0.0100;0.9900;0.9900;0.9500;0.9600;0.0000;0.9700;0.9900
130,0.9800;0.9800;0.9600;0.9800;0.0000;0.0000;0.9500;0.9700;0.9500;0.9600
