group_type,k,s,err,delta,noise_scale,n,weight_decay,hit_rate,proxy_hit_rate,correct,proxy_correct,episodes,mean_reward,wn_policy_net_0,wn_policy_net_2,wn_action_net,weight_norm_actor,wn_value_net_0,wn_value_net_2,wn_value_net_out,weight_norm_critic,weight_norm_total,fit_status,fit_L,fit_A,fit_tau,fit_L_err,fit_A_err,fit_tau_err,r_squared,rmse,fit_points_used,source_file
margin,1,1.0,0.0,1.0,,,0.0,1.0,1.0,500,500,500,1.0,4.720297875329615,11.772202103568713,2.772849837921335,12.98285987842314,2.896721653341403,7.950277939322443,1.0053968088160088,8.52107612878746,15.529436210479789,ok,1.0054360242414733,0.9681098129068938,13805.960846800464,9.033883653823136e-05,0.0005864781641425,12.901496791349672,0.959044710210442,0.0344569512134982,200704,per_layer_weight_norm_rerun_7.csv
margin,2,1.0,0.0,0.5,,,0.0,1.0,1.0,500,500,500,1.0,5.121583020474479,12.652965253620954,3.343682059484623,14.053766472368572,2.8245834020202047,7.949131913144307,1.0103968559035184,8.496344588936882,16.422430497153215,ok,1.0057172935529208,0.9622694789021642,16098.118300740867,0.0001003151908677,0.0005838010143473,15.356526690449838,0.9578583322544372,0.0370375479446149,200704,per_layer_weight_norm_rerun_7.csv
margin,3,1.0,0.0,0.3333333333333333,,,0.0,1.0,1.0,500,500,500,1.0,5.318003804749932,13.65436644844028,4.0337208311686,15.198479901602983,2.858319598467073,7.935731805387744,1.0319112386986873,8.497686215586938,17.412767222300026,ok,1.0049135135744731,0.9638641366935884,17827.808476860464,9.984643733015263e-05,0.0005380120775417,15.892614650215654,0.9633714639923894,0.0359191205610057,200704,per_layer_weight_norm_rerun_7.csv
margin,4,1.0,0.0,0.25,,,0.0,1.0,1.0,500,500,500,1.0,5.407251871582679,14.112453353000582,4.508878572321999,15.771166679205956,2.849289706878712,7.985485108910187,1.0379305643191954,8.541880595905054,17.93581396363141,ok,1.0040992307347854,0.9534846725819868,20163.59348546943,0.0001058932438508,0.0005169341792267,17.862396080731212,0.9644013519352634,0.0367029738683129,200704,per_layer_weight_norm_rerun_7.csv
margin,5,1.0,0.0,0.2,,,0.0,1.0,1.0,500,500,500,1.0,5.583564446301529,14.82540331745416,4.861974558451784,16.57128757997446,2.912653881722996,7.956924345059584,1.033018001402288,8.536001631849604,18.640571233660054,ok,1.0034830569550406,0.9444327666032294,21680.83330264375,0.000110980102445,0.0005092733457533,19.41269849548026,0.9641144040535764,0.0374954031468513,200704,per_layer_weight_norm_rerun_7.csv
margin,6,1.0,0.0,0.16666666666666666,,,0.0,1.0,1.0,500,500,500,1.0,5.715675509893403,15.267487590941538,5.2124152289238,17.115326359513737,2.846880887022328,8.00376551175316,1.0446151172270457,8.558984396244782,19.13610750094772,ok,1.0004968499718163,0.9260169569530056,23546.24368115561,0.0001075166019812,0.0004580898625763,19.751694014128415,0.9689131131408072,0.0351481500857511,200704,per_layer_weight_norm_rerun_7.csv
margin,7,1.0,0.0,0.14285714285714285,,,0.0,1.0,1.0,500,500,500,1.0,5.633761097241347,15.31334985009551,5.607932967329319,17.253604258191075,2.864926187053732,8.019998444829943,1.0562609202507132,8.581600331173075,19.26994354278857,ok,0.9954106532423772,0.9125346362981744,24716.58473335441,9.572066218976136e-05,0.0003895848349532,18.14354312197918,0.9763105254122976,0.0306256174130325,200704,per_layer_weight_norm_rerun_7.csv
margin,8,1.0,0.0,0.125,,,0.0,1.0,1.0,500,500,500,1.0,5.703951893263188,15.785254519920628,5.794585420376658,17.756310079894895,2.864424756891664,7.9915812915961,1.066423980269439,8.5561417025302,19.71025389200133,ok,0.9915897076439256,0.8957752181262437,26757.77190810543,0.0001032975647309,0.0003886093972244,20.4729949499958,0.9749044693682638,0.0317835407429953,200704,per_layer_weight_norm_rerun_7.csv
margin,9,1.0,0.0,0.1111111111111111,,,0.0,1.0,1.0,500,500,500,1.0,5.818828009421551,16.43098913633549,5.83877647097831,18.38280376002675,2.8393227861512798,7.961880067499849,1.0484075185726849,8.517772385912235,20.260304057389234,ok,0.9915782759900588,0.8957308938738191,28987.61741730059,0.0001043636386258,0.0003606561590692,21.207204554191133,0.9776547225340424,0.0307007729194254,200704,per_layer_weight_norm_rerun_7.csv
margin,10,1.0,0.0,0.1,,,0.0,1.0,1.0,500,500,500,1.0,5.806666066524279,16.565245487174234,6.036358825995803,18.56239092182492,2.882138920481818,7.976901509537495,1.0459490440139478,8.54585816945796,20.43511802234427,ok,0.9868641478573368,0.8740421076041787,31290.258308969183,0.0001064438638236,0.0003372829090572,22.666542027735264,0.9787851362556442,0.0298266178132798,200704,per_layer_weight_norm_rerun_7.csv
